<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	1829.51	1831.63	1798.25	1801.11	77203	0	17
2022.01.04	1800.95	1816.73	1798.37	1814.37	81604	0	17
2022.01.05	1814.59	1829.61	1808.21	1810.06	78394	0	17
2022.01.06	1810.48	1811.47	1786.33	1790.84	102670	0	17
2022.01.07	1790.96	1798.55	1782.54	1795.88	84475	0	17
2022.01.10	1794.55	1802.23	1790.28	1801.28	79019	0	17
2022.01.11	1801.08	1823.14	1800.00	1821.33	78473	0	17
2022.01.12	1821.06	1827.97	1814.62	1825.75	76556	0	17
2022.01.13	1825.56	1828.12	1812.28	1822.32	78965	0	17
2022.01.14	1822.07	1829.10	1814.62	1816.99	85475	0	17
2022.01.17	1819.02	1823.15	1813.05	1818.65	40242	0	17
2022.01.18	1818.36	1822.72	1805.72	1813.48	99174	0	17
2022.01.19	1812.95	1843.23	1810.21	1840.23	92928	0	17
2022.01.20	1839.78	1847.84	1835.85	1839.05	95931	0	17
2022.01.21	1839.57	1843.13	1828.43	1833.40	103994	0	17
2022.01.24	1834.28	1844.23	1829.59	1842.78	110105	0	17
2022.01.25	1842.72	1853.78	1834.87	1847.87	94197	0	17
2022.01.26	1847.65	1850.00	1814.82	1819.41	107575	0	17
2022.01.27	1819.84	1822.07	1791.74	1797.04	119714	0	17
2022.01.28	1797.78	1799.35	1780.19	1790.98	102109	0	17
2022.01.31	1791.25	1799.74	1785.51	1797.29	80524	0	17
2022.02.01	1797.58	1808.70	1795.65	1800.88	82503	0	17
2022.02.02	1800.21	1810.71	1794.34	1806.60	70168	0	17
2022.02.03	1806.32	1808.88	1788.52	1804.50	87392	0	17
2022.02.04	1804.77	1814.82	1792.05	1807.03	87308	0	17
2022.02.07	1807.38	1823.49	1806.55	1820.13	81535	0	17
2022.02.08	1820.33	1828.70	1815.34	1825.71	66163	0	17
2022.02.09	1825.77	1835.71	1824.58	1832.97	63078	0	17
2022.02.10	1832.98	1841.84	1821.52	1826.63	102340	0	17
2022.02.11	1826.40	1865.38	1820.77	1860.95	115621	0	17
2022.02.14	1860.88	1874.10	1850.70	1870.88	125052	0	17
2022.02.15	1871.38	1879.37	1844.42	1853.46	96404	0	17
2022.02.16	1853.53	1872.53	1850.23	1869.52	76885	0	17
2022.02.17	1869.71	1901.05	1867.77	1897.98	105802	0	17
2022.02.18	1898.42	1902.40	1886.55	1897.84	86671	0	17
2022.02.21	1900.26	1908.18	1887.40	1903.93	59573	0	18
2022.02.22	1909.23	1914.00	1891.30	1898.18	115344	0	18
2022.02.23	1898.31	1910.43	1889.50	1908.70	74325	0	18
2022.02.24	1909.14	1974.37	1878.13	1903.55	176313	0	18
2022.02.25	1903.84	1921.16	1883.07	1887.51	114997	0	18
2022.02.28	1916.09	1929.54	1890.86	1908.64	113168	0	18
2022.03.01	1907.25	1950.14	1901.31	1944.99	110022	0	18
2022.03.02	1942.55	1947.83	1913.76	1928.39	108639	0	18
2022.03.03	1929.50	1941.12	1921.96	1935.50	95659	0	18
2022.03.04	1936.42	1970.35	1929.55	1968.50	120687	0	18
2022.03.07	1976.49	2002.65	1961.01	1997.69	149848	0	18
2022.03.08	1996.37	2070.35	1981.00	2050.04	167764	0	18
2022.03.09	2051.15	2059.05	1975.89	1991.38	150780	0	18
2022.03.10	1989.67	2009.01	1970.62	1996.34	131670	0	18
2022.03.11	1994.52	1998.88	1958.55	1986.25	95239	0	18
2022.03.14	1988.05	1989.59	1949.54	1950.48	90811	0	18
2022.03.15	1951.80	1954.47	1906.94	1917.82	99542	0	18
2022.03.16	1918.56	1929.37	1894.90	1926.92	95778	0	18
2022.03.17	1927.31	1949.68	1923.08	1942.42	78767	0	18
2022.03.18	1942.13	1945.12	1917.79	1919.34	72650	0	18
2022.03.21	1922.45	1940.11	1918.07	1935.55	74473	0	18
2022.03.22	1935.07	1938.30	1911.08	1920.95	74405	0	18
2022.03.23	1921.06	1948.19	1915.38	1943.59	69012	0	18
2022.03.24	1943.43	1965.91	1937.28	1957.55	79765	0	18
2022.03.25	1957.22	1964.11	1943.03	1954.87	79720	0	18
2022.03.28	1955.36	1958.25	1916.81	1922.66	119353	0	18
2022.03.29	1921.85	1929.21	1890.01	1919.07	114050	0	18
2022.03.30	1918.91	1938.41	1915.80	1932.56	84080	0	18
2022.03.31	1932.81	1949.76	1918.99	1937.16	87782	0	18
2022.04.01	1937.15	1939.39	1917.94	1923.60	89590	0	18
