<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	01:00:00	1829.51	1831.63	1827.95	1828.41	1364	0	17
2022.01.03	02:00:00	1828.38	1830.99	1826.92	1830.06	2279	0	17
2022.01.03	03:00:00	1830.01	1831.44	1827.55	1828.75	2478	0	17
2022.01.03	04:00:00	1828.77	1828.82	1825.60	1826.11	1747	0	17
2022.01.03	05:00:00	1826.11	1826.84	1824.17	1825.66	1526	0	17
2022.01.03	06:00:00	1825.63	1825.91	1824.54	1825.15	848	0	17
2022.01.03	07:00:00	1825.21	1825.69	1823.64	1825.37	1126	0	17
2022.01.03	08:00:00	1825.36	1825.68	1823.64	1825.26	1496	0	17
2022.01.03	09:00:00	1825.25	1825.33	1820.93	1824.17	2508	0	17
2022.01.03	10:00:00	1824.18	1824.26	1821.28	1822.82	2720	0	17
2022.01.03	11:00:00	1822.82	1826.61	1822.40	1826.29	3107	0	17
2022.01.03	12:00:00	1826.31	1827.41	1825.51	1826.31	2052	0	17
2022.01.03	13:00:00	1826.37	1827.11	1822.23	1822.86	2576	0	17
2022.01.03	14:00:00	1822.86	1823.17	1821.25	1821.77	2599	0	17
2022.01.03	15:00:00	1821.77	1822.00	1805.62	1807.05	11498	0	17
2022.01.03	16:00:00	1807.05	1810.90	1802.80	1802.84	10092	0	17
2022.01.03	17:00:00	1802.84	1806.60	1799.74	1801.77	9777	0	17
2022.01.03	18:00:00	1801.74	1801.88	1798.25	1800.66	5573	0	17
2022.01.03	19:00:00	1800.65	1800.87	1798.73	1799.55	2972	0	17
2022.01.03	20:00:00	1799.53	1802.19	1798.98	1801.61	2788	0	17
2022.01.03	21:00:00	1801.65	1802.97	1801.00	1801.66	1988	0	17
2022.01.03	22:00:00	1801.67	1804.51	1801.12	1801.66	2786	0	17
2022.01.03	23:00:00	1801.68	1802.17	1800.83	1801.11	1303	0	19
2022.01.04	01:00:00	1800.95	1804.31	1800.95	1804.18	881	0	17
2022.01.04	02:00:00	1804.18	1804.80	1802.84	1804.25	1789	0	17
2022.01.04	03:00:00	1804.24	1806.82	1803.12	1805.13	4632	0	17
2022.01.04	04:00:00	1805.16	1807.08	1804.64	1805.35	2345	0	17
2022.01.04	05:00:00	1805.31	1806.11	1803.81	1804.15	1976	0	17
2022.01.04	06:00:00	1804.15	1804.19	1803.14	1803.36	1685	0	17
2022.01.04	07:00:00	1803.36	1805.49	1803.20	1805.40	1796	0	17
2022.01.04	08:00:00	1805.40	1806.00	1803.39	1803.42	2675	0	17
